meeting_key,session_key,session_type,driver_number,stint_number,date,compound,lap_start,lap_duration,is_pit_out_lap,air_temperature,circuit_short_name,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
1140,7763,Practice,4,6,1/1/23 8:27,MEDIUM,15,1340.886963,TRUE,24.39999962,Sakhir,33,1011.200012,0,37.20000076,189,3.700000048
1140,7763,Practice,4,7,1/1/23 8:54,MEDIUM,24,749.2219849,TRUE,25.79999924,Sakhir,25,1010.700012,0,39.09999847,183,2.200000048
1140,7763,Practice,4,8,1/1/23 9:32,MEDIUM,31,1589.447021,TRUE,27.70000076,Sakhir,16,1009.900024,0,41.59999847,197,3
1140,7763,Practice,4,9,1/1/23 10:01,MEDIUM,43,664.1950073,TRUE,29.29999924,Sakhir,12,1009.5,0,43.09999847,188,3.5
1140,7763,Practice,4,10,1/1/23 10:26,MEDIUM,53,561.8709717,TRUE,30.20000076,Sakhir,11,1009,0,43.70000076,189,2.700000048
1140,7763,Practice,4,11,1/1/23 10:53,MEDIUM,61,927.4160156,TRUE,30.79999924,Sakhir,10,1008.900024,0,43.70000076,201,2.900000095
1140,7763,Practice,4,12,1/1/23 11:07,MEDIUM,63,691.0300293,TRUE,30.89999962,Sakhir,10,1008.700012,0,43.5,209,3
1140,7763,Practice,10,1,1/1/23 12:39,MEDIUM,1,,TRUE,29.20000076,Sakhir,13,1009,0,39.70000076,291,0.600000024
1140,7763,Practice,10,2,1/1/23 12:52,MEDIUM,8,149.6329956,TRUE,29.20000076,Sakhir,15,1009.200012,0,38.5,324,1.299999952
1140,7763,Practice,10,5,1/1/23 13:48,MEDIUM,15,1806.973022,TRUE,27.60000038,Sakhir,20,1009.200012,0,34.40000153,335,1.100000024
1140,7763,Practice,10,6,1/1/23 13:57,MEDIUM,20,150.3769989,TRUE,27.10000038,Sakhir,25,1009.400024,0,33.29999924,339,2.400000095
1140,7763,Practice,10,7,1/1/23 14:09,MEDIUM,21,720.3099976,TRUE,26,Sakhir,36,1009.400024,0,32.09999847,342,1.600000024
1140,7763,Practice,10,8,1/1/23 14:45,MEDIUM,26,1675.457031,TRUE,24.79999924,Sakhir,31,1009.5,0,30.5,325,1.100000024
1140,7763,Practice,10,9,1/1/23 15:18,MEDIUM,29,1807.44104,TRUE,24.29999924,Sakhir,35,1009.900024,0,29.10000038,343,1.700000048
1140,7763,Practice,10,10,1/1/23 15:36,HARD,39,132.6419983,TRUE,23.70000076,Sakhir,39,1010.200012,0,28.5,345,1.299999952
1140,7763,Practice,10,12,1/1/23 16:12,MEDIUM,54,121.5619965,TRUE,23.60000038,Sakhir,39,1010.700012,0,27.79999924,325,0.600000024
1140,7763,Practice,10,14,1/1/23 16:16,MEDIUM,56,,TRUE,23.70000076,Sakhir,40,1010.700012,0,27.70000076,40,0.600000024
1140,7763,Practice,11,6,1/1/23 8:46,MEDIUM,18,851.2299805,TRUE,25.39999962,Sakhir,27,1010.700012,0,38.79999924,172,2.200000048
1140,7763,Practice,11,7,1/1/23 8:49,MEDIUM,19,178.5529938,TRUE,25.39999962,Sakhir,28,1010.900024,0,38.70000076,189,4
1140,7763,Practice,11,8,1/1/23 9:15,MEDIUM,34,122.3929977,TRUE,26.5,Sakhir,20,1010.5,0,40.40000153,192,3
1140,7763,Practice,11,9,1/1/23 9:17,MEDIUM,35,113.4229965,TRUE,26.70000076,Sakhir,20,1010.400024,0,40.59999847,159,2
1140,7763,Practice,11,10,1/1/23 9:47,HARD,53,118.7249985,TRUE,28.70000076,Sakhir,14,1009.5,0,42.59999847,188,2.5
1140,7763,Practice,14,1,1/1/23 7:00,MEDIUM,1,,TRUE,23.60000038,Sakhir,50,1011.700012,0,30.70000076,171,4.300000191
1140,7763,Practice,14,2,1/1/23 7:04,MEDIUM,3,159.0220032,TRUE,23.39999962,Sakhir,49,1011.900024,0,30.60000038,188,5.300000191
1140,7763,Practice,14,3,1/1/23 7:27,MEDIUM,5,1247.345947,TRUE,23,Sakhir,53,1012,0,32.40000153,189,3.700000048
1140,7763,Practice,14,4,1/1/23 7:43,MEDIUM,9,673.65802,TRUE,23.20000076,Sakhir,49,1012,0,34.09999847,199,3.400000095
1140,7763,Practice,14,5,1/1/23 8:05,MEDIUM,13,1055.969971,TRUE,23.89999962,Sakhir,40,1011.5,0,35.40000153,192,3.700000048
1140,7763,Practice,14,6,1/1/23 8:57,MEDIUM,20,2445.076904,TRUE,25.89999962,Sakhir,22,1010.700012,0,39.5,169,3.400000095
1140,7763,Practice,14,7,1/1/23 9:16,MEDIUM,25,687.2520142,TRUE,26.60000038,Sakhir,21,1010.400024,0,40.59999847,180,2
1140,7763,Practice,14,8,1/1/23 9:34,MEDIUM,30,627.9229736,TRUE,27.79999924,Sakhir,16,1009.900024,0,41.79999924,192,3.200000048
1140,7763,Practice,14,9,1/1/23 10:00,MEDIUM,35,1108.876953,TRUE,29.29999924,Sakhir,12,1009.400024,0,43.09999847,190,2.5
1140,7763,Practice,14,10,1/1/23 10:37,MEDIUM,51,723.3460083,TRUE,30.39999962,Sakhir,11,1009,0,43.70000076,201,3.400000095
1140,7763,Practice,14,11,1/1/23 12:45,MEDIUM,65,2700.458008,TRUE,29.10000038,Sakhir,13,1009.200012,0,39.20000076,336,1.600000024
1140,7763,Practice,14,12,1/1/23 12:49,MEDIUM,67,138.2779999,TRUE,29.10000038,Sakhir,18,1009.200012,0,38.59999847,16,0.600000024
1140,7763,Practice,14,13,1/1/23 13:11,MEDIUM,69,1219.848022,TRUE,28.89999962,Sakhir,13,1009.200012,0,37.5,356,0.800000012
1140,7763,Practice,14,14,1/1/23 13:41,MEDIUM,81,695.4639893,TRUE,27.60000038,Sakhir,18,1009.200012,0,34.59999847,334,2.200000048
1140,7763,Practice,14,15,1/1/23 14:13,MEDIUM,96,561.3629761,TRUE,25.70000076,Sakhir,38,1009.400024,0,31.70000076,334,1.600000024
1140,7763,Practice,14,16,1/1/23 14:49,HARD,111,792.7260132,TRUE,24.70000076,Sakhir,31,1009.5,0,30.39999962,337,1.100000024
1140,7763,Practice,14,17,1/1/23 15:19,MEDIUM,114,1700.578979,TRUE,24.29999924,Sakhir,36,1009.900024,0,29.10000038,339,1.600000024
1140,7763,Practice,14,18,1/1/23 15:38,MEDIUM,119,754.6740112,TRUE,23.79999924,Sakhir,38,1010,0,28.39999962,6,0.800000012
1140,7763,Practice,14,19,1/1/23 15:58,MEDIUM,124,755.690979,TRUE,23.79999924,Sakhir,40,1010.5,0,27.89999962,17,0.600000024
1140,7763,Practice,14,20,1/1/23 16:13,MEDIUM,129,439.8450012,TRUE,23.60000038,Sakhir,40,1010.700012,0,27.79999924,318,0.600000024
1140,7763,Practice,16,1,1/1/23 12:25,MEDIUM,1,,TRUE,29.60000038,Sakhir,14,1008.700012,0,40.5,326,0.800000012
1140,7763,Practice,16,2,1/1/23 12:32,MEDIUM,4,169.4369965,TRUE,29.5,Sakhir,13,1008.900024,0,40.29999924,324,0.800000012
1140,7763,Practice,16,3,1/1/23 12:46,MEDIUM,6,761.8060303,TRUE,29,Sakhir,14,1009.200012,0,39.20000076,308,1
1140,7763,Practice,16,4,1/1/23 13:20,MEDIUM,10,1667.375,TRUE,28.89999962,Sakhir,13,1009.200012,0,37.09999847,322,0.600000024
1140,7763,Practice,16,5,1/1/23 13:27,MEDIUM,13,179.7689972,TRUE,28.89999962,Sakhir,13,1009.200012,0,36.5,188,0.600000024
1140,7763,Practice,16,6,1/1/23 13:42,MEDIUM,15,763.1420288,TRUE,27.5,Sakhir,19,1009.200012,0,34.5,337,2
1140,7763,Practice,16,7,1/1/23 13:59,MEDIUM,19,715.3449707,TRUE,26.89999962,Sakhir,27,1009.400024,0,33,342,1.799999952
1140,7763,Practice,16,8,1/1/23 14:45,MEDIUM,23,2421.100098,TRUE,24.79999924,Sakhir,31,1009.5,0,30.5,325,1.100000024
1140,7763,Practice,16,10,1/1/23 15:15,MEDIUM,28,1433.740967,TRUE,24.20000076,Sakhir,34,1009.900024,0,29.10000038,353,1.600000024
1140,7763,Practice,16,11,1/1/23 15:42,HARD,44,121.0469971,TRUE,23.89999962,Sakhir,39,1010.200012,0,28.29999924,310,0.600000024
1140,7763,Practice,16,12,1/1/23 16:17,MEDIUM,65,,TRUE,23.70000076,Sakhir,40,1010.900024,0,27.70000076,62,0.600000024
1140,7763,Practice,16,13,1/1/23 16:21,MEDIUM,66,409.2149963,TRUE,23.60000038,Sakhir,41,1011,0,27.60000038,104,0.600000024
1140,7763,Practice,20,1,1/1/23 7:01,MEDIUM,1,,TRUE,23.60000038,Sakhir,49,1011.700012,0,30.60000038,173,4
1140,7763,Practice,20,2,1/1/23 7:17,MEDIUM,2,1021.789978,TRUE,23,Sakhir,51,1012,0,32,173,5
1140,7763,Practice,20,3,1/1/23 7:47,MEDIUM,9,1069.792969,TRUE,23.20000076,Sakhir,49,1011.900024,0,34.09999847,185,3
1140,7763,Practice,20,4,1/1/23 8:21,MEDIUM,16,1417.706055,TRUE,24.20000076,Sakhir,35,1011.5,0,36.79999924,180,3.900000095
1140,7763,Practice,20,5,1/1/23 8:53,MEDIUM,24,1074.776978,TRUE,25.70000076,Sakhir,26,1010.900024,0,39.20000076,170,3.5
1140,7763,Practice,20,6,1/1/23 9:31,MEDIUM,31,1665.140991,TRUE,27.79999924,Sakhir,15,1010,0,41.59999847,183,3.200000048
1140,7763,Practice,20,7,1/1/23 9:58,HARD,41,675.6879883,TRUE,29.20000076,Sakhir,13,1009.5,0,43.09999847,178,3.200000048
1140,7763,Practice,20,8,1/1/23 10:42,HARD,53,1496.880005,TRUE,30.60000038,Sakhir,11,1008.900024,0,43.70000076,191,3
1140,7763,Practice,20,9,1/1/23 11:06,HARD,65,448.5889893,TRUE,30.89999962,Sakhir,10,1008.700012,0,43.5,190,2.700000048
1140,7763,Practice,21,1,1/1/23 12:26,MEDIUM,1,,TRUE,29.60000038,Sakhir,14,1008.700012,0,40.5,307,0.800000012
1140,7763,Practice,21,2,1/1/23 12:45,MEDIUM,7,624.6229858,TRUE,29.10000038,Sakhir,13,1009.200012,0,39.20000076,336,1.600000024
1140,7763,Practice,21,3,1/1/23 13:23,MEDIUM,22,851.9879761,TRUE,28.89999962,Sakhir,13,1009.200012,0,36.79999924,301,0.800000012
1140,7763,Practice,21,4,1/1/23 13:36,MEDIUM,29,127.4810028,TRUE,28.89999962,Sakhir,13,1009.200012,0,36.09999847,304,0
1140,7763,Practice,21,4,1/1/23 13:36,MEDIUM,29,127.4810028,TRUE,28.79999924,Sakhir,13,1009.200012,0,35.79999924,322,0.800000012
1140,7763,Practice,21,5,1/1/23 14:16,MEDIUM,37,1691.651001,TRUE,25.60000038,Sakhir,33,1009.5,0,31.60000038,340,1.200000048
1140,7763,Practice,21,7,1/1/23 15:14,MEDIUM,47,1380.260986,TRUE,24.20000076,Sakhir,34,1009.900024,0,29.10000038,335,1.700000048
1140,7763,Practice,21,8,1/1/23 15:24,SOFT,50,426.8259888,TRUE,24.20000076,Sakhir,37,1010,0,29,4,1
1140,7763,Practice,21,9,1/1/23 15:32,SOFT,53,264.3859863,TRUE,23.79999924,Sakhir,41,1010.200012,0,28.39999962,333,0.800000012
1140,7763,Practice,21,10,1/1/23 15:48,MEDIUM,56,743.9110107,TRUE,23.89999962,Sakhir,38,1010.200012,0,28.39999962,115,0
1140,7763,Practice,21,11,1/1/23 15:50,MEDIUM,57,147.8890076,TRUE,23.89999962,Sakhir,38,1010.400024,0,28.39999962,159,0.400000006
1140,7763,Practice,21,13,1/1/23 16:07,MEDIUM,66,129.201004,TRUE,23.70000076,Sakhir,39,1010.700012,0,27.79999924,342,0.800000012
1140,7763,Practice,21,14,1/1/23 16:11,MEDIUM,68,123.5820007,TRUE,23.60000038,Sakhir,39,1010.700012,0,27.79999924,1,0.600000024
1140,7763,Practice,21,15,1/1/23 16:14,MEDIUM,70,148.3619995,TRUE,23.60000038,Sakhir,40,1010.700012,0,27.79999924,1,0.600000024
1140,7763,Practice,21,16,1/1/23 16:21,MEDIUM,72,377.2279968,TRUE,23.60000038,Sakhir,41,1011,0,27.60000038,104,0.600000024
1140,7763,Practice,22,1,1/1/23 7:00,MEDIUM,1,,TRUE,23.60000038,Sakhir,50,1011.700012,0,30.70000076,171,4.300000191
1140,7763,Practice,22,2,1/1/23 7:07,MEDIUM,4,137.2489929,TRUE,23.29999924,Sakhir,50,1012,0,31,184,4.800000191
1140,7763,Practice,22,3,1/1/23 7:13,MEDIUM,7,133.9629974,TRUE,23,Sakhir,52,1012.200012,0,31.29999924,195,4
1140,7763,Practice,22,4,1/1/23 7:59,MEDIUM,10,2561.969971,TRUE,23.60000038,Sakhir,43,1011.700012,0,35.20000076,168,4
1140,7763,Practice,22,5,1/1/23 8:01,MEDIUM,11,130.9420013,TRUE,23.70000076,Sakhir,44,1011.700012,0,35.09999847,184,2.700000048
1140,7763,Practice,22,6,1/1/23 8:32,HARD,28,251.2890015,TRUE,24.70000076,Sakhir,32,1011.200012,0,37.5,191,3.700000048
1140,7763,Practice,22,7,1/1/23 9:11,MEDIUM,51,133.1419983,TRUE,26.39999962,Sakhir,22,1010.5,0,40.29999924,195,2
1140,7763,Practice,22,8,1/1/23 10:15,MEDIUM,69,2147.878906,TRUE,29.89999962,Sakhir,12,1009,0,43.59999847,179,3
1140,7763,Practice,22,9,1/1/23 10:21,MEDIUM,72,158.9290009,TRUE,30.10000038,Sakhir,11,1009.200012,0,43.70000076,189,3
1140,7763,Practice,22,10,1/1/23 10:43,MEDIUM,77,897.3170166,TRUE,30.60000038,Sakhir,11,1008.700012,0,43.70000076,195,2.5
1140,7763,Practice,24,1,1/1/23 7:00,MEDIUM,1,,TRUE,23.60000038,Sakhir,50,1011.700012,0,30.70000076,171,4.300000191
1140,7763,Practice,24,2,1/1/23 7:18,MEDIUM,3,971.5709839,TRUE,23,Sakhir,51,1012,0,32,176,3.900000095
1140,7763,Practice,24,3,1/1/23 7:43,MEDIUM,5,1382.35498,TRUE,23.20000076,Sakhir,49,1012,0,34.09999847,199,3.400000095
1140,7763,Practice,24,4,1/1/23 7:57,MEDIUM,12,142.7299957,TRUE,23.5,Sakhir,43,1011.700012,0,35.29999924,180,3.700000048
1140,7763,Practice,24,5,1/1/23 8:10,MEDIUM,13,802.7990112,TRUE,23.89999962,Sakhir,40,1011.5,0,36.20000076,198,3.900000095
1140,7763,Practice,24,6,1/1/23 8:28,MEDIUM,22,146.2290039,TRUE,24.5,Sakhir,33,1011.200012,0,37.29999924,193,4.099999905
1140,7763,Practice,24,10,1/1/23 10:50,MEDIUM,34,528.2940063,TRUE,30.79999924,Sakhir,10,1008.700012,0,43.90000153,187,2.700000048
1140,7763,Practice,24,11,1/1/23 11:00,MEDIUM,39,164.2559967,TRUE,31,Sakhir,10,1008.700012,0,44,185,3.700000048
1140,7763,Practice,24,12,1/1/23 11:07,MEDIUM,41,367.4110107,TRUE,30.89999962,Sakhir,10,1008.700012,0,43.5,209,3
1140,7763,Practice,24,13,1/1/23 12:15,MEDIUM,44,281.3280029,TRUE,29.70000076,Sakhir,14,1008.700012,0,41.09999847,333,1.100000024
1140,7763,Practice,24,14,1/1/23 12:27,MEDIUM,51,147.6990051,TRUE,29.5,Sakhir,14,1008.900024,0,40.40000153,327,0.800000012
1140,7763,Practice,24,15,1/1/23 12:38,MEDIUM,52,650.3239746,TRUE,29.20000076,Sakhir,13,1009,0,39.90000153,99,1.100000024
1140,7763,Practice,24,16,1/1/23 12:50,MEDIUM,59,146.0740051,TRUE,29.20000076,Sakhir,15,1009,0,38.70000076,346,0.600000024
1140,7763,Practice,24,17,1/1/23 13:23,MEDIUM,60,1959.80603,TRUE,28.89999962,Sakhir,13,1009.200012,0,36.79999924,301,0.800000012
1140,7763,Practice,24,18,1/1/23 13:54,MEDIUM,78,123.1179962,TRUE,27.5,Sakhir,21,1009.400024,0,33.90000153,339,1.200000048
